"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163615_AiModel.Designer.cs", "C#", 0, -441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -162, -605
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163615_AiModel.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163842_AiModelv2.Designer.cs", "C#", 0, -456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -169, -627
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163842_AiModelv2.cs", "C#", 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164500_AiModelv3.Designer.cs", "C#", 0, -457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -169, -628
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164500_AiModelv3.cs", "C#", 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164744_AiModelv4.Designer.cs", "C#", 0, -459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -170, -631
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164744_AiModelv4.cs", "C#", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -31
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416170216_AiModelv5.Designer.cs", "C#", 0, -459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -170, -631
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416170216_AiModelv5.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416191817_AiModelv6.Designer.cs", "C#", 0, -474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -176, -652
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416191817_AiModelv6.cs", "C#", 0, -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -75
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240417162726_AiModelv7.Designer.cs", "C#", 0, -474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -176, -652
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240417162726_AiModelv7.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418131531_AiModelv8.Designer.cs", "C#", 0, -477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -177, -656
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418131531_AiModelv8.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418174717_CollectData.Designer.cs", "C#", 0, -479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -178, -659
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418174717_CollectData.cs", "C#", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -29
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419092148_ChatFunction.Designer.cs", "C#", 0, -479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -178, -659
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419092148_ChatFunction.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419093213_ChatFunctionv2.Designer.cs", "C#", 0, -557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -209, -768
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419093213_ChatFunctionv2.cs", "C#", 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11, -106
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419173713_ChatFunctionv3.Designer.cs", "C#", 0, -517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -194, -713
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419173713_ChatFunctionv3.cs", "C#", 0, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14, -101
